Player,Nation,Pos,Squad,Age,birth_year,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tyler Dibling,eng ENG,"FW,MF",Southampton,19-043,2006,29,18,"1,684",18.7,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,67,59,90,0.11,0.00,0.11,0.11,0.11,0.14,0.08,0.22,0.14,0.22,Matches
Tyrell Malacia,nl NED,DF,Manchester Utd,25-250,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-235,1999,34,34,"2,852",31.7,0,4,4,0,0,0,2,0,1.2,1.2,5.6,6.8,56,62,160,0.00,0.13,0.13,0.00,0.13,0.04,0.18,0.22,0.04,0.22,Matches
Tyrique George,eng ENG,FW,Chelsea,19-079,2006,6,0,102,1.1,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,9,2,17,0.88,0.88,1.76,0.88,1.76,0.18,0.63,0.81,0.18,0.81,Matches
Tyrone Mings,eng ENG,DF,Aston Villa,32-042,1993,13,11,"1,051",11.7,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,6,39,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Valentino Livramento,eng ENG,DF,Newcastle Utd,22-163,2002,32,27,"2,390",26.6,0,1,1,0,0,0,1,0,0.2,0.2,2.3,2.6,68,129,85,0.00,0.04,0.04,0.00,0.04,0.01,0.09,0.10,0.01,0.10,Matches
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-129,2002,28,28,"2,380",26.4,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,39,69,75,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06,Matches
Victor Lindelöf,se SWE,DF,Manchester Utd,30-281,1994,11,4,445,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Virgil van Dijk,nl NED,DF,Liverpool,33-290,1991,33,33,"2,970",33.0,2,1,3,2,0,0,3,0,1.9,1.9,0.7,2.6,18,172,6,0.06,0.03,0.09,0.06,0.09,0.06,0.02,0.08,0.06,0.08,Matches
Vitaliy Mykolenko,ua UKR,DF,Everton,25-330,1999,30,30,"2,632",29.2,0,1,1,0,0,0,2,0,0.4,0.4,1.5,1.9,29,99,75,0.00,0.03,0.03,0.00,0.03,0.01,0.05,0.07,0.01,0.07,Matches
Vitaly Janelt,de GER,MF,Brentford,26-349,1998,32,27,"2,254",25.0,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,80,38,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,Matches
Vladimír Coufal,cz CZE,DF,West Ham,32-245,1992,17,9,860,9.6,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,14,32,24,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09,Matches
Wataru Endo,jp JPN,MF,Liverpool,32-074,1993,16,0,154,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Welington,br BRA,"DF,MF",Southampton,24-064,2001,7,3,215,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,6,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-152,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.00,0.10,0.10,0.00,0.10,0.05,0.16,0.21,0.05,0.21,Matches
Wesley Fofana,fr FRA,DF,Chelsea,24-128,2000,14,14,"1,172",13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.06,Matches
Wilfred Ndidi,ng NGA,MF,Leicester City,28-129,1996,24,24,"1,967",21.9,0,4,4,0,0,0,7,0,1.8,1.8,1.8,3.6,14,59,72,0.00,0.18,0.18,0.00,0.18,0.08,0.08,0.17,0.08,0.17,Matches
Will Hughes,eng ENG,MF,Crystal Palace,30-007,1995,29,21,"1,869",20.8,0,3,3,0,0,0,11,0,1.0,1.0,2.7,3.7,18,82,24,0.00,0.14,0.14,0.00,0.14,0.05,0.13,0.18,0.05,0.18,Matches
William Saliba,fr FRA,DF,Arsenal,24-031,2001,32,32,"2,814",31.3,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,134,6,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.10,0.07,0.10,Matches
William Smallbone,ie IRL,MF,Southampton,25-062,2000,14,6,612,6.8,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1.1,5,23,21,0.15,0.00,0.15,0.15,0.15,0.06,0.09,0.16,0.06,0.16,Matches
Willian,br BRA,"MF,FW",Fulham,36-258,1988,7,1,161,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,5,27,17,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.20,0.07,0.20,Matches
Willy Boly,ci CIV,DF,Nott'ham Forest,34-080,1991,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Wilson Odobert,fr FRA,FW,Tottenham,20-147,2004,11,6,516,5.7,0,0,0,0,0,0,0,0,0.7,0.7,0.9,1.6,36,19,52,0.00,0.00,0.00,0.00,0.00,0.12,0.16,0.28,0.12,0.28,Matches
Wout Faes,be BEL,DF,Leicester City,27-021,1998,29,25,"2,365",26.3,1,0,1,1,0,0,3,0,1.4,1.4,0.1,1.5,12,72,1,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.06,0.05,0.06,Matches
Woyo Coulibaly,fr FRA,DF,Leicester City,25-339,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-276,2004,27,16,"1,470",16.3,5,4,9,5,0,0,6,0,3.7,3.7,4.7,8.4,63,35,154,0.31,0.24,0.55,0.31,0.55,0.23,0.29,0.52,0.23,0.52,Matches
Yasin Ayari,se SWE,MF,Brighton,21-200,2003,29,18,"1,647",18.3,0,1,1,0,0,0,3,0,2.2,2.2,2.1,4.3,27,65,56,0.00,0.05,0.05,0.00,0.05,0.12,0.12,0.23,0.12,0.23,Matches
Yehor Yarmoliuk,ua UKR,MF,Brentford,21-054,2004,26,10,"1,039",11.5,0,0,0,0,0,0,4,0,0.6,0.6,0.3,0.9,12,45,42,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08,0.05,0.08,Matches
